No,Pattern Name,Keywords,Section Order,Primary CTA Placement,Color Strategy,Recommended Effects,Conversion Optimization
,Screenshot-as-Hero Proof Stack,"screenshot hero, product proof, dark-native, alternating feature bands, rationed accent CTA, proof over promise, Linear-class","1. Slim sticky nav, 2. Hero: one-line headline + sub + real product screenshot directly beneath, 3. Framing statement, 4. Alternating feature bands (text + product UI capture), 5. Charts/insights band, 6. Changelog/social-proof strip, 7. Full-bleed accent CTA band, 8. Dense mega-footer",Hero (secondary) + full-bleed accent CTA band near the end,Near-black canvas throughout; color rationed to ONE electric accent spent only on the closing full-bleed CTA band so it detonates instead of decorating,"Reveal-on-scroll per band, quiet hover lift on screenshot cards, the accent CTA band as the single visual climax","Sell by showing the product working, not by describing it: every band is anchored by a true-to-life UI capture. Hoard the accent for one CTA so the eye lands there. Proof-driven density beats persuasive copy."
,Illustrated Editorial Scroll (Nudge-class),"centered hero, full-bleed illustration, alternating feature rows, illustrated card grid, pull-quote, calm vertical scroll, brochure rhythm","1. slim nav (wordmark + 3 links + olive Contact pill), 2. centered hero (eyebrow chip + bold headline + sub-copy + one olive CTA over full-bleed clasping-hands illustration), 3. 'How Nudge works' alternating text/UI-mockup feature rows, 4. 'Use cases' illustrated card grid of sketched people, 5. centered pull-quote testimonial with portrait, 6. 'Partners' wide illustrated group scene, 7. 'Let's talk' closing CTA over sketched forest footer","single olive pill in hero ('Get in touch'), echoed by 'Contact' pill in nav and a 'Let's talk' closing CTA — same olive, repeated not multiplied",near-monochrome warm oatmeal + ink throughout; olive accent rationed strictly to CTAs and tiny dots; the only chromatic pops are status colors living inside product-screenshot mockups; full-bleed illustrations supply visual interest instead of color,hero: static illustration carries it; feature rows: fade/rise on scroll; mockups: soft shadow lift; CTA pills: gentle hover darken; illustrated sections: edge-to-edge breaths between tidy rows,"Let bespoke illustration build trust and emotion so the page earns the click without hype — keep one accent color and repeat (don't multiply) the same calm CTA, confining all UI proof to small framed mockups."
,Centered Type Hero → Bordered Ledger Grid (Polar-class),"centered-type-hero, logo-cloud, bordered-tile-grid, split-product-panels, pricing-table, monochrome-ledger, screenshot-led","1) thin top announcement bar, 2) transparent nav (wordmark left / centered links / Sign-in + white Get-Started pill right), 3) centered giant typographic hero + gray subhead + single white CTA pill, 4) monochrome logo cloud, 5) 3-up bordered feature tiles with line-art glyphs, 6) 2×3 bordered pricing-primitive card grid, 7) heading-left/copy-right intro feeding a large product dashboard screenshot, 8) further product/code split-panels, 9) feature list, 10) full-bleed large faded statement paragraph, 11) 3-up testimonials grid, 12) pricing table (Free→$400→Startup-Program), footer",White Get-Started pill repeated top-right in nav and as the single centered button in the hero; secondary Apply-now / per-tier CTAs in the pricing table at the bottom,"Marketing chrome is 100% black/white/gray with hairline borders throughout; the lone accent blue is rationed exclusively into the embedded product dashboard screenshots (chart strokes + gradient fills), so color signals 'the real product'",Hero static; tiles and cards fade/slide-up on scroll-in; cards/nav lighten on hover; dashboard line charts animate-draw; the full-bleed statement paragraph sits in low-opacity gray for a quiet rhythm break,"Quarantine all color to the product UI and keep the marketing layer monochrome — the screenshot becomes the single visual focal point and reads as the trustworthy 'real thing,' while a recurring white pill CTA stays unmistakable against the flat dark field"
,Museum-Catalogue Asymmetric Grid (Contra Labs-class),"asymmetric-grid, editorial-spread, framed-imagery, crop-mark-hero, monumental-serif-statement, low-density, art-zine","1. Slim wordmark nav, 2. Hero: framed oil painting with corner crop-marks + wordmark split left/right, 3. Intro statement + mixed grid of paintings/solid sage cells/short text, 4. Alternating editorial image+copy rows, 5. Monumental serif statement section ('The Network of Human Taste') beside small data/label cells, 6. Closing manuscript/book image row with one line of copy, 7. Minimal footer repeating the wordmark","Low-key, near the top nav / under the intro statement — this layout subordinates CTA to the editorial narrative rather than hammering it","Bone-and-charcoal everywhere; the single sage green is rationed to a few solid placeholder cells only, letting the painting imagery supply all other color so the page never feels UI-tinted","Hero: crop-mark bracket draw-in + slow image reveal; body rows: soft fade/rise on scroll; statement section: large serif fades up against whitespace; everything slow and tasteful, no bounce","Lead with a single curated, tonally-coherent art object framed as a museum piece and let the imagery (plus a sampled-from-art accent) carry credibility and brand — restraint and curation signal premium trust more than buttons do"
,Orange-Slab Threat-Then-Calm (Rig-class),"colored-slab-hero, marquee, fear-framing, manifesto, centered-dark-proof, dual-CTA, accordion-FAQ","1. Slim nav with logo + pill CTA, 2. Full-bleed orange hero with giant 3-line headline + subhead + two buttons, 3. Horizontal feature-tag marquee strip, 4. Dark 'you're being watched' threat section with feature cards, 5. 'Everything local. Own your AI.', 6. 'Work offline' trio, 7. 'Purpose beats scale.' with editor mockup, 8. 'Your machine, unleashed.' feature grid, 9. 'Built for control freaks' UI mockup, 10. 'Rig is almost ready' waitlist, 11. FAQ accordion, 12. Closing orange 'Break free from big AI' CTA + footer","Twin buttons in the orange hero (Join Waitlist / Get Approved), repeated in the near-bottom waitlist section and the full closing orange CTA block",Orange saturates only the top hero slab and the bottom CTA; the entire middle is near-black greyscale so the accent reappears exclusively at conversion points,"Running marquee ticker on the feature strip, scroll-reveal fades on centered section headers, flat blocks with hairline dividers, accordion expand on FAQ","Bookend the dark manifesto with the rationed accent — open loud on an orange slab, withhold color while building proof in calm dark sections, then snap orange back at the CTA so the eye is trained to read orange as 'act here'."
,Left-Manifesto / Right-Particle-Mesh (Antimetal-class),"split-hero, left-anchored, editorial-manifesto, ambient-particle, airy, crop-mark-framed, slow-scroll","1. Floating pill nav (links / centered brand / Sign In + black CTA), 2. Split hero — left serif manifesto headline + subhead + two CTAs, right animated black particle constellation, 3. Dark inset eyebrow card ('Production should run itself.'), 4. Crop-mark framed text block ('A layer that owns the runtime.'), 5. Crop-mark framed text block ('Everyone else watches. We operate.'), 6. Full-width product-screenshot dashboard panel with green-gradient header, 7. Near-black gradient footer",Solid black 'Book a demo' pill duplicated in the top-right nav and again in the hero beside a dashed-border 'Explore the research' secondary,"Near-monochrome black-on-greige throughout; color is rationed so the hero particle mesh and the single black CTA pill own all the contrast, with a lone green-gradient accent reserved for the product screenshot and a dark indigo footer closing the page","Hero: drifting particle network animation; nav: floating pill with soft scroll elevation; mid-sections: dashed crop-mark frames, gentle fade/slide on scroll; closing: full-width dark gradient as visual punctuation","Let disciplined editorial typography do the persuading — a single literary serif promise paired with one living machine graphic and exactly one filled black CTA, so the eye has no competing color and lands on the demo button by elimination."
,Spine-Threaded Hardware Corridor (Cowboy Space-class),"full-bleed hero, photographic gravitas, vertical-spine scroll, floating illustrations, blackspace pacing, single-accent CTA, horizon break, manifesto close",1) Fixed stencil wordmark + corner glyphs over full-bleed hardware hero with centered play button and email-capture bar; 2) deep blackspace scroll corridor with three floating technical illustrations connected by a thin vertical line spine; 3) full-bleed desert-dusk dune horizon break; 4) tiny justified manifesto/about block; 5) monumental BUILD THE FUTURE headline with orange CTA,"Email-capture bar pinned in the hero above the fold, echoed by the orange BUILD THE FUTURE CTA at the very bottom","Monochrome warm-black throughout; the lone burnt-orange accent appears only at the two conversion points (hero signup, closing CTA), with photography supplying all other warmth",Hero: looping/video behind play button. Corridor: scroll-linked line-draw of the spine + slow fade-up of each illustration. Horizon: parallax-soft full-bleed reveal. CTA: orange arrow hover nudge only,"Withhold all color except a single rationed accent so the eye is forced to the one CTA, and use a vertical connecting spine to physically guide the scroll from hardware reveal to signup — scarcity of color plus a literal guided path does the converting."
,Continuous-Sky Split Hero Scroll (Dawn-class),"split-hero, continuous-gradient, centered-manifesto, four-up-features, comparison, floating-testimonial, sky-footer-faq","1. Slim nav (wordmark left, links + yellow CTA pill right); 2. 50/50 split hero (typographic amber panel + photo panel with email + CTA); 3. centered short manifesto paragraphs over the amber→brown gradient; 4. four-column feature row with marigold icons; 5. dark 'from the old way to the new way' comparison; 6. floating testimonial/quote card on a cream band; 7. blue-sky footer CTA with email capture + FAQ accordion",Yellow 'Get early access' pill appears twice above the fold — top-right of nav and beside the hero email field — then repeats in the sky footer CTA,"One full-page sunrise→twilight→daytime gradient carries every section; warm ink on light panels, white on photo/dark panels, a cream relief band for the testimonial, and marigold yellow rationed strictly to CTAs, icons, and highlighted words",Hero: scroll-tied gradient sun-movement + dotted sun-path arc; manifesto: slow fade-up reveals; features: staggered icon fade-in; testimonial: floating card with soft shadow lift; footer: accordion FAQ expand,"Pair an abstract emotional headline with a human face and the signup field in the same split fold, so the feeling and the form are seen together — then carry one continuous calming gradient and a single high-contrast accent color all the way down so every CTA pill pops against the sky without competing for attention."
,Floating Cards on an Unbroken Sky (Vovy-class),"full-bleed gradient, edge-to-edge clouds, no section dividers, floating white cards, mascot hero anchor, single-accent CTA, airy mid-section, centered pricing cluster","1) sticky nav (logo + Learn/Pricing/Posts/Team + violet CTA), 2) hero: giant white headline + subcopy + violet CTA + dual Chrome/Firefox install buttons left, glossy mascot right, over sky+clouds, 3) named product/feature block ('Vovy Learn') with a white UI panel beside an illustration card, 4) long airy sky expanse with floating feature cards at varied offsets, 5) 'Choose Your Plan' two-card pricing (one highlighted, violet CTA), 6) carousel dot rail, 7) wide white footer panel flanked by a row of mascot poses","violet→magenta gradient pill repeated in the sticky nav and as the hero's primary button, echoed again on the highlighted pricing card",the page is ~95% blue + white; color is rationed so the ONLY saturated non-blue element is the violet CTA gradient — it pulls the eye straight to conversion points in every section,hero: cloud drift/parallax + floating mascot bob; mid-section: cards fade/slide up on scroll; pricing: carousel dot-rail slide; CTAs: soft hover-lift on the violet pill,"make the background do the branding (continuous sky) and reserve your one accent color exclusively for CTAs — when every section is the same blue, the lone violet button becomes the unmissable focal point everywhere on the page"
,Single-Light-Source Manifesto Stack (Paperclip-class),"centered serif manifesto, full-bleed color hero, feature-row stack, terminal install mock, logo strip, FAQ accordion, final CTA band","1) slim nav (links + centered wordmark + Star count pill), 2) hero: rainbow grain plume behind serif headline + dual CTA, 3) Quickstart with terminal/install mock card, 4) 'Loved by builders' logo/testimonial strip, 5) centered manifesto statement line, 6) stacked feature rows (colored eyebrow + serif sub-head + dark mockup card), 7) closing 'You're in charge' pitch, 8) FAQ accordion, 9) final CTA band + footer",Primary 'Get started' cream pill sits in the hero beside a secondary GitHub link; reinforced by the final full-width 'Hire a team of agents in one command' CTA band before the footer,Saturated color exists exactly once (the hero plume); every section below is grayscale with the accent hues surviving only as tiny eyebrow dots — so color is a budget spent at the top and dripped sparingly thereafter,hero: slow drifting/breathing gradient plume; sections: scroll fade-up on each row; feature mocks: subtle reveal; CTA pill: hover lift; FAQ: smooth accordion expand,"Concentrate all visual energy into one full-bleed colored hero so the headline + primary CTA own undivided attention, then let a calm grayscale manifesto stack build trust and reassert the same CTA in a closing command-line band"
