No,Style Category,Type,Keywords,Primary Colors,Secondary Colors,Effects & Animation,Best For,Do Not Use For,Light Mode ✓,Dark Mode ✓,Performance,Accessibility,Mobile-Friendly,Conversion-Focused,Framework Compatibility,Era/Origin,Complexity,AI Prompt Keywords,CSS/Technical Keywords,Implementation Checklist,Design System Variables
,Product-Screenshot Proof Canvas (Linear-class),General,"near-black engineered-calm canvas, product UI as imagery, rationed single accent, tight grotesk, dark-native marketing, proof-driven, low-stimulation","Near-black bg #0b0b0c, soft off-white fg #ECECEE","Muted slate-grey #8A8F98 secondary text, one rationed electric accent (lime #E6F24B or violet) for the closing CTA only","Subtle reveal-on-scroll, quiet card hover lift, no parallax theatrics; restraint is the motion language; accent detonates once at the CTA band","Dev tools, SaaS with a real UI to show, product-led startups, anything whose demo screen can be staged convincingly","Brands with no credible product UI to display, playful/illustrative concepts, anything needing warmth or multiple colors",✗ No,✓ Full,⚡ Excellent,✓ WCAG AA,✓ High,◐ Medium,"Tailwind 10/10, CSS 10/10, React 10/10",2020s Dark-native SaaS,Medium,"Design a dark-native product landing on a near-black canvas (#0b0b0c) with soft off-white type. The hero is a one-line grotesk headline with a pristine, true-to-life screenshot of the actual product directly beneath it. Build feature bands that each pair a short text block with a real product UI capture (issue lists, boards, charts) on hairline-bordered cards. Ration ONE electric accent color (lime/violet) and spend it ONLY on a single full-bleed closing CTA band. No decorative gradients, no blur, no second accent. Engineered-calm, low-stimulation, proof over promise.","background:#0b0b0c; color:#ECECEE; --accent:#E6F24B; font-family: Inter, system-ui; tight letter-spacing on headings; 1px hairline borders (rgba(255,255,255,.08)); minimal elevation; full-bleed accent section only at CTA","☐ Near-black canvas, off-white body at comfortable (not max) contrast, ☐ Hero anchored by a real product screenshot, ☐ Feature bands = text + true UI capture alternating, ☐ Exactly ONE accent color, spent only at the closing CTA, ☐ Hairline borders + minimal elevation, ☐ No decorative gradients or blur","--bg:#0b0b0c; --fg:#ECECEE; --muted:#8A8F98; --accent:#E6F24B; --radius:10px; --border:rgba(255,255,255,0.08); --shadow:none (hairline only)"
,Illustrated Brochure Calm (Nudge-class),General,"warm, oatmeal, hand-drawn, editorial, calm, humanist, brochure, healthcare, trustworthy, low-density","oatmeal cream bg (#F0ECE4), near-black ink fg (#1F1D1A)",muted warm taupe body text (#6B655C); the ONE accent is deep olive-drab green (#4A4A2E) spent almost exclusively on pill CTA buttons and small accent dots,"subtle fade/rise on scroll for illustrated sections and stat cards, gentle hover on olive pills, soft shadows on UI mockups — quiet motion matching the palette","wellness, healthcare, patient-care, B2B health-tech, mission-led services that need to feel human and trustworthy","high-energy consumer apps, fintech/crypto, dense dashboards, anything needing urgency or hype",✓ Full,✗ No,⚡ Good,✓ WCAG AA,✓ High,◐ Medium,"Tailwind 10/10, CSS 10/10, React 10/10",2020s warm-illustration editorial SaaS,Medium,"Design a warm, calm B2B landing page on an oatmeal-cream paper canvas (#F0ECE4) with near-black ink headlines (#1F1D1A) and muted taupe body copy (#6B655C). Use a single deep olive-drab green accent (#4A4A2E) ONLY on pill-shaped CTA buttons and tiny accent dots. The emotional weight is carried entirely by bespoke hand-drawn pencil/ink illustrations — a full-bleed hero of two clasping hands, sketched people in the use-case grid, an illustrated community scene — while product UI lives only inside small soft-shadowed framed mockups. Keep density low, whitespace generous, type bold-head / light-body with no italics.","background #F0ECE4; text #1F1D1A / muted #6B655C; accent #4A4A2E on pill buttons (border-radius: 999px); font-family: a tight grotesque sans for display, humanist sans for body; soft shadows (0 8px 24px rgba(0,0,0,.06)) on UI mockup cards; full-bleed illustration sections; faint section dividers; no gradients","☐ commission consistent hand-drawn pencil illustrations (not stock), ☐ ration the olive accent to CTAs + dots only, ☐ confine product UI to small framed mockups with soft shadow, ☐ make hero illustration full-bleed and let it carry the emotion, ☐ keep status colors inside mockups never in page chrome, ☐ bold tight display head over light taupe body, ☐ generous whitespace / low density / long calm scroll","--bg: #F0ECE4; --fg: #1F1D1A; --muted: #6B655C; --accent: #4A4A2E; --radius: 999px (pills) / 12px (cards); --shadow: 0 8px 24px rgba(0,0,0,.06)"
,Quarantined-Accent Monochrome (Polar-class),General,"near-black, monochrome, infrastructural, restrained, fintech, developer-tooling, hairline-bordered, grotesque-typography, calm, serious","near-black bg #0a0a0a, near-white fg #fafafa","muted gray #8a8a8a (subheads/nav/labels) + one accent electric blue #3b5bdb spent almost exclusively inside the dashboard screenshot (chart line strokes, gradient area fills, date dots) — the marketing chrome itself is colorless","Mostly flat and static; subtle fade/slide-up on scroll-in for bordered tiles, hover lightening on cards/nav, possible animate-draw on the dashboard line charts. No parallax, no hero motion.","B2B SaaS, fintech, billing/payments, developer infrastructure, AI-startup tooling — anything that needs to feel trustworthy and serious and has a genuinely good product UI to show","Consumer/lifestyle brands, playful products, anything without a strong product screenshot to carry the lone spot of color, or brands wanting warmth/personality",✗ No,✓ Full,⚡ Excellent,✓ WCAG AA,✓ High,◐ Medium,"Tailwind 10/10, CSS 10/10, React 10/10",2020s dark-mode developer-fintech / infrastructure aesthetic,Medium,"Design a near-black (#0a0a0a) dark landing page with near-white (#fafafa) type and gray (#8a8a8a) secondary text, using a tight grotesque typeface (Helvetica Now / Inter) set ENORMOUS and centered for a two-line hero headline. Keep the entire marketing layer strictly monochrome with hairline #1f1f1f borders separating dark cards from the dark background, and use fully-rounded white pill CTA buttons with dark text as the only high-contrast objects. Quarantine a single deep electric blue (#3b5bdb) accent ENTIRELY inside the product dashboard screenshots — chart line strokes and gradient area fills only — so no color ever touches the chrome. Lay content out in a calm modular bordered grid (3-up tiles, 2×3 cards, a pricing table) for a ledger-like feel.","background:#0a0a0a; color:#fafafa; --muted:#8a8a8a; accent #3b5bdb scoped to product UI only; font-family: 'Helvetica Now','Inter',system-ui,sans-serif; border:1px solid #1f1f1f on cards; border-radius:9999px on pill CTAs, ~12px on cards; no box-shadows on chrome (flat), subtle linear-gradient fills only inside chart cards; extreme font-size contrast (hero ~clamp(3rem,8vw,7rem) vs body 1rem)","☐ Set bg to near-black #0a0a0a not pure black, ☐ Confine the blue accent to product screenshots/charts only — never the marketing chrome, ☐ Use hairline #1f1f1f borders (not shadows) for all card depth, ☐ Center an oversized near-zero-tracking grotesque hero with no hero image, ☐ Make white fully-rounded pill the single high-contrast CTA, ☐ Keep body type to one or two weights and let size do the hierarchy, ☐ Arrange content as a bordered modular grid (3-up, 2×3, pricing table), ☐ Insert one full-bleed faded large statement paragraph as a rhythm break",--bg:#0a0a0a; --fg:#fafafa; --muted:#8a8a8a; --border:#1f1f1f; --accent:#3b5bdb; --radius:12px; --radius-pill:9999px; --shadow:none
,Curatorial Oil-Painting Editorial (Contra Labs-class),General,"editorial, museum-catalogue, art-house, oil-painting, restrained, intellectual, paper-warm, high-contrast-serif, gallery, crop-marks","warm bone/paper bg #F0EDE6, charcoal ink fg #1E1E1C","warm grey muted #8A867C; ONE accent soft sage/celadon green #9FB3A6–#7E9488 sampled from the hero painting, spent only on solid placeholder cells — never on text or buttons","subdued editorial fade/rise on scroll, slow image reveals, possible crop-mark bracket draw-in on hero; no bounce, no parallax","art/research labs, design studios, cultural or curatorial brands, premium editorial products that lean on imagery","data-dense dashboards, conversion-aggressive SaaS funnels, or any brand without real, tonally-coherent fine-art imagery to anchor it",✓ Full,✗ No,⚡ Good,✓ WCAG AA,◐ Medium,◐ Medium,"Tailwind 10/10, CSS 10/10, React 9/10",2020s art-house editorial / museum-zine revival,Medium,"Design a warm bone-colored (#F0EDE6) editorial landing that reads like a printed museum exhibition catalogue, with charcoal (#1E1E1C) ink text and a single soft sage-green accent (#9FB3A6) used ONLY on solid placeholder cells, sampled directly from the imagery. Anchor the hero on a single framed old-master oil painting flanked by an L-shaped corner crop-mark frame, with the wordmark split left and right around the image. Pair a large high-contrast Didone serif for monumental statement headlines against tiny ALL-CAPS letter-spaced grotesque-sans micro-labels, on a loose asymmetric grid that deliberately breaks with floating text blocks and solid green cells. Keep everything flat — no shadows, no gradients — and let the curated fine-art imagery carry the entire brand.","background:#F0EDE6; color:#1E1E1C; --accent:#7E9488; font stacks: serif 'Playfair Display'/'GT Sectra'/Didone for display, grotesque sans 'Neue Haas'/'Inter' for body/labels; letter-spacing:0.12em + text-transform:uppercase on micro-labels; border-radius:0; box-shadow:none; thin 1px hairline borders rare; L-shaped corner crop-marks via pseudo-elements (border-top+border-left squares at frame corners); asymmetric CSS grid with wide gutters","☐ Sample the accent green from the actual hero artwork, never invent it, ☐ Frame the hero image with L-shaped corner crop-marks (viewfinder/registration look), ☐ Split the wordmark to flank the hero image left/right, ☐ Pair towering high-contrast serif headlines with tiny tracked ALL-CAPS sans labels, ☐ Keep accent green off all text and buttons — solid cells only, ☐ Use a loose asymmetric grid that intentionally breaks with floating blocks, ☐ Keep everything flat: zero shadows, zero gradients, radius 0, ☐ Source real tonally-coherent fine-art imagery or the look collapses",--bg:#F0EDE6; --fg:#1E1E1C; --muted:#8A867C; --accent:#7E9488; --radius:0; --shadow:none
,Manifesto Slab Brutalism (Rig-class),General,"brutalist, manifesto, high-contrast, two-tone, billboard-type, alarm-orange, editorial, sovereignty, deadpan-bold","near-black bg #0D0D0D, white fg #FFFFFF","muted grey body #8A8A8A, accent alarm-orange #F0522B spent only on the full-bleed hero slab, the logo mark, primary CTA buttons, and the closing CTA block","horizontal feature-tag marquee/ticker under hero, scroll-reveal fades on centered section headers, flat hard-edged blocks, hairline dividers, minimal shadow","privacy/sovereignty/local-first dev tools, manifesto-driven launches, waitlist landing pages with a strong point of view","neutral enterprise SaaS, friendly consumer apps, data-dense dashboards, or anything needing a warm/approachable tone",✗ No,✓ Full,⚡ Excellent,✓ WCAG AA,✓ High,✓ High,"Tailwind 10/10, CSS 10/10, React 10/10",2020s neo-brutalist manifesto landing pages,Medium,"Design a near-black (#0D0D0D) landing page with one massive full-bleed alarm-orange (#F0522B) hero slab carrying a colossal 3-line black-weight grotesque headline in sentence case with tight leading. Ration the orange so it vanishes for the entire dark middle of the page and returns only on the primary CTA buttons and the closing CTA block. Set body copy small in muted grey (#8A8A8A), add a horizontal scrolling marquee of feature tags under the hero, and keep every mid-page section centered, calm, low-density with greyscale product mockups.","background #0D0D0D; accent #F0522B; text #FFFFFF / muted #8A8A8A; font-family Helvetica Neue, Neue Haas Grotesk, Inter, system-ui sans-serif; headline font-weight 800-900, letter-spacing -0.02em, line-height 0.95; border-radius ~6px on buttons, ~0-8px on cards; 1px hairline dividers rgba(255,255,255,0.08); minimal/no box-shadow; flat fills, no gradients","☐ Use exactly ONE accent color and ration it (hero slab + CTAs only, never mid-page sections), ☐ Set hero type genuinely huge with 800-900 weight and negative letter-spacing + sub-1.0 line-height, ☐ Add a horizontal feature-tag marquee strip below the hero, ☐ Drop tone after the hero — center-align, dark, low-density, greyscale mockups, ☐ Bring orange back only at conversion points (waitlist buttons + closing CTA), ☐ Keep textures flat with hairline dividers and minimal shadow","--bg: #0D0D0D; --fg: #FFFFFF; --muted: #8A8A8A; --accent: #F0522B; --radius: 6px; --shadow: none (flat); --divider: rgba(255,255,255,0.08)"
,Editorial Serif Constellation (Antimetal-class),General,"editorial, literary, serif, warm-greige, monochrome, research-lab, calm, high-contrast, ambient, particle-mesh","warm greige bg #DEDDD3, near-black ink fg #161513","muted warm grey body #6E6B62, ONE accent = pure black #0A0A0A spent on the hero particle constellation + the solid black 'Book a demo' pill (a faint #C9D6A0 green wash and near-black indigo footer appear only deep in the page)","ambient drifting particle network (nodes + hairline connector lines), floating pill nav with soft scroll elevation, slow paged-scroll guided by down/up chevrons, dashed crop-mark button/section borders","autonomous/AI infrastructure, research-led B2B, dev tooling, anything wanting an intellectual 'expensive lab' tone","playful consumer apps, dense data dashboards, high-energy ecommerce, conversion-aggressive funnels needing visual urgency",✓ Full,◐ Partial,⚡ Good,✓ WCAG AA,◐ Medium,◐ Medium,"Tailwind 9/10, CSS 10/10, React 10/10 (canvas particles favor React/JS)",2020s editorial-tech / post-Vercel research-lab aesthetic,Medium,"Design a calm editorial landing on a warm greige paper field (#DEDDD3) with near-black ink (#161513). Place a large high-contrast literary serif headline (Tiempos/Canela-class) left-aligned with a muted grey serif subhead (#6E6B62), and float an animated black (#0A0A0A) particle constellation — drifting dots of varied radii joined by hairline lines — into the right half. Keep the palette near-monochrome black-on-greige, spend color only on the solid black 'Book a demo' pill and the live mesh, use floating soft-shadow pill nav and dashed crop-mark borders on secondary buttons, and lean on enormous whitespace with left-hugging content blocks.","background:#DEDDD3; color:#161513; --muted:#6E6B62; accent black #0A0A0A; font: serif display stack ('Tiempos Headline','Canela',Georgia,serif) + small geometric sans for nav/labels; border-radius: 9999px on pills / 0 on crop-mark blocks; borders: 1px dashed for secondary buttons & section frames; shadow: soft low-opacity drop on floating nav + CTA pills only; canvas/SVG particle network for hero","☐ warm greige bg not pure white, ☐ high-contrast literary serif for headline at large size with no bold, ☐ reuse the serif (not sans) for the subhead, ☐ tiny geometric sans only for nav/labels/buttons, ☐ animated black particle mesh floated right (nodes + hairline links), ☐ single solid-black CTA pill as the only filled element, ☐ dashed crop-mark borders on secondary button + section blocks, ☐ floating pill nav with soft shadow, ☐ massive left-hugging whitespace, ☐ break grid only at a full-width product screenshot and a near-black gradient footer","--bg:#DEDDD3; --fg:#161513; --muted:#6E6B62; --accent:#0A0A0A; --radius:9999px; --shadow:0 2px 12px rgba(0,0,0,0.08)"
,Cinematic Aerospace Darkroom (Cowboy Space-class),General,"cinematic, near-black, hardware-worshipping, industrial-stencil, frontier-romantic, photographic-grain, restrained, reverent, full-bleed","charcoal-black bg #1c1a14, warm off-white fg #e8e4da","muted dust-tan #8a7d68 and deep khaki-olive midfield #3a3528, with ONE burnt safety-orange accent #e8541e spent only on the CTA submit arrow and the email-signup input border","scroll-linked line-draw-down of a vertical spine, slow weighty fade-up of each technical illustration, hero video/loop behind a centered play button; no bounce, aerospace-grade easing","aerospace, hard-tech, robotics, frontier/deep-tech launch pages with genuinely striking hardware photography","content-dense SaaS dashboards, copy-heavy marketing pages, or any product without strong original photography",✗ No,✓ Full,◐ Medium,⚠ Low contrast,◐ Medium,◐ Medium,"Tailwind 9/10, CSS 10/10, React 9/10",2020s cinematic aerospace / SpaceX-era hardware-reverence web,High,"Design a near-black (#1c1a14) cinematic aerospace landing page where full-bleed rocket-hardware photography is the only light source. Set a tall condensed uppercase stencil wordmark top-left and warm off-white (#e8e4da) sparse mono-adjacent body at near-footnote scale. Ration a single burnt safety-orange (#e8541e) accent to ONE place only — the email-capture submit arrow and input border. The signature move: run a thin vertical line spine down a vast blackspace scroll corridor that physically connects three floating technical illustrations like blueprint callouts, then break to a full-bleed desert-dusk dune photo before a monumental BUILD THE FUTURE closing CTA.","background:#1c1a14; color:#e8e4da; accent #e8541e on submit/border only; font stack condensed industrial display (e.g. 'Oswald'/'Bebas Neue') for headlines + mono/small-caps sans for body; border-radius:0; 1px hairline borders rgba(232,228,218,.2); no box-shadow (photographic depth instead); full-bleed object-fit:cover hero + horizon images; ::before vertical 1px line as scroll spine","☐ Keep bg near-black warm (#1c1a14) not pure #000, ☐ ration orange #e8541e to the single CTA only — nothing else colored, ☐ build the central 1px vertical spine and connect each illustration to it, ☐ set extreme scale contrast: monumental condensed caps vs near-footnote body, ☐ use real hardware/horizon photography full-bleed for all depth, ☐ keep all chrome flat: radius 0, hairline borders, zero drop-shadows, ☐ leave vast vertical blackspace between illustrations for ceremonial scroll pace, ☐ animate illustrations fade-up with slow weighty easing, no bounce",--bg:#1c1a14; --fg:#e8e4da; --muted:#8a7d68; --accent:#e8541e; --radius:0; --shadow:none
,Sunrise Gradient Wellness (Dawn-class),General,"warm, sunrise, calming, human, editorial-serif, soft-focus, reassuring, gradient-driven, single-accent","amber sunrise bg #F5A623 → roasted-brown core #3A2417, warm near-black ink #2A1A0F on light / white #FFFFFF on dark","muted warm taupe #9A8676 + cream relief #F4ECE0; ONE accent marigold yellow #FFC525 spent only on CTA pills, feature icons, and highlighted words","slow scroll-tied gradient that mimics the sun crossing the sky, soft fade-up reveals on centered text, gentle hover-lift on yellow pills, one floating soft-shadow card, hand-drawn dotted sun-path arc","mental health, wellness, coaching, care, human-support and consumer brands that want warmth and reassurance","dev tools, fintech, B2B infra or anything that needs a precise/technical tone — the sunrise metaphor reads as generic calm-startup mush",✓ Full,◐ Partial,⚡ Good,✓ WCAG AA,✓ High,✓ High,"Tailwind 10/10, CSS 10/10, React 10/10",2020s warm-wellness / soft-gradient consumer SaaS,Medium,"Design a warm wellness landing page where the ENTIRE page background is one continuous vertical gradient from amber sunrise (#F5A623) at the top, through a deep roasted-brown twilight core (#3A2417) mid-page, back to a cool blue daytime sky at the footer — so scrolling feels like moving through a day. Float content directly on this single sky: a 50/50 split hero pairing a high-contrast editorial serif headline on an amber panel with a soft-focus human portrait + email capture on the photo panel, then centered short manifesto paragraphs, a 4-up feature row, and a floating soft-shadow testimonial card on a cream band (#F4ECE0). Ration a single marigold-yellow accent (#FFC525) to CTA pills, feature icons, and a few highlighted words only — never body text — and add a faint hand-drawn dotted sun-path arc across the hero.","full-height body background: linear-gradient(180deg,#F5A623,#3A2417 55%,#7FB6E0); ink #2A1A0F / white #FFFFFF; accent #FFC525; serif display (Tiempos/Canela-style) + neutral sans body; pill border-radius 9999px; card radius ~16px; minimal borders; soft box-shadow 0 12px 40px rgba(0,0,0,.18) on floating card; scroll-linked background-position or fixed gradient layer","☐ make the gradient ONE continuous full-page sky, not per-section colored bands, ☐ restrict marigold #FFC525 to CTAs/icons/highlights only, ☐ two-clause call-and-response headline split across hero panels, ☐ pair editorial serif display with neutral sans body at a big scale jump, ☐ float a soft-shadow testimonial card proud of a cream relief band, ☐ add the faint hand-drawn dotted sun-path arc, ☐ ease all motion slowly (sunrise pacing), ☐ keep generous whitespace around centered manifesto text","--bg: linear-gradient(180deg,#F5A623,#3A2417,#7FB6E0); --fg: #2A1A0F; --muted: #9A8676; --accent: #FFC525; --cream: #F4ECE0; --radius: 16px; --radius-pill: 9999px; --shadow: 0 12px 40px rgba(0,0,0,.18)"
,Continuous Sky Gradient (Vovy-class),General,"airy, optimistic, cloud-photography, friendly, consumer, toy-like, glossy 3D mascot, soft-shadow, rounded, sky-blue","sky-cyan bg #2BB8E8 (deepening to azure #1E8FD6), white fg #FFFFFF","muted translucent-white rgba(255,255,255,0.7) for subcopy + the ONE accent: violet→magenta gradient #7C4DFF→#C04BFF, spent almost exclusively on the primary 'Start Building' CTA pills (nav + hero + pricing)","gentle cloud drift / parallax, floating mascot bob, soft card hover-lift, carousel slide on dot rail","edtech, consumer AI tools, kid/beginner-friendly products, onboarding-led SaaS that wants to feel approachable","serious B2B, enterprise, developer/infra tooling, finance, or anything that needs to read as rigorous or premium-dark",✓ Full,✗ No,◐ Medium,⚠ Low contrast,✓ High,✓ High,"Tailwind 10/10, CSS 10/10, React 9/10",2020s friendly-AI / consumer-edtech optimism,Medium,"Design a landing page that is one continuous saturated sky: a cyan-to-azure vertical gradient (#2BB8E8 → #1E8FD6) running edge-to-edge with photographic fluffy white clouds layered through EVERY section so there are no visible section dividers — the sky is the background of the whole document. Float rounded white cards (16–20px radius, soft drop shadows) over the sky and anchor the hero with a glossy balloon-rendered 3D mascot beside a giant bold white rounded-sans headline. Keep ALL chrome white and blue except ONE accent: a violet→magenta gradient pill (#7C4DFF → #C04BFF) reserved strictly for the primary CTA buttons.","body { background: linear-gradient(180deg,#2BB8E8,#1E8FD6); } with fixed/parallax cloud PNG layers; accent gradient #7C4DFF→#C04BFF on .cta pills; font-family: 'Poppins','SF Rounded',system-ui rounded sans; border-radius:18px on cards & pills; shadow strategy: soft diffuse box-shadow 0 12px 32px rgba(30,90,160,.18), no borders; white text with subtle text-shadow for legibility on cyan","☐ run ONE full-bleed sky gradient behind the entire page (no per-section backgrounds), ☐ layer photographic clouds across section seams so cards appear to float, ☐ ration the violet→magenta gradient to CTAs ONLY — keep everything else blue/white, ☐ use a glossy 3D mascot as the hero character anchor, ☐ give white cards generous radius + soft diffuse shadow and NO borders, ☐ add a subtle text-shadow to white subcopy so it clears WCAG on cyan, ☐ keep density low/airy up top, tighten only at the pricing cluster","--bg:#2BB8E8; --bg-deep:#1E8FD6; --fg:#FFFFFF; --muted:rgba(255,255,255,0.7); --accent:linear-gradient(90deg,#7C4DFF,#C04BFF); --radius:18px; --shadow:0 12px 32px rgba(30,90,160,0.18)"
,Grain-Plume Noir (Paperclip-class),General,"near-black, editorial serif, grainy gradient, monochrome restraint, developer-tool, premium open-source, noise texture, single-accent","near-black bg #0d0d0d, warm off-white fg #f5f0e6","muted grey ink #8a8a8a, dark card surface #1a1a1a; the ONE accent is a grainy rainbow gradient (magenta #e0218a, orange #f5a623, teal #27c4a0, violet #5b4bff) spent only on the hero plume + tiny per-section eyebrow dots; cream CTA pill #efe7d3","ambient slow drift/breathing on the gradient plume, scroll fade-up on section blocks, hover lift on the cream CTA pill — motion is quiet and atmospheric, never flashy","developer tools, AI/agent infra, open-source products, technical SaaS that wants taste and calm authority","consumer fun brands, e-commerce, kids/playful products, dense data dashboards, anything needing high-energy or many simultaneous colors",✗ No,✓ Full,⚡ Good,✓ WCAG AA,✓ High,◐ Medium,"Tailwind 10/10, CSS 10/10, React 10/10",2020s minimalist dev-tool / editorial-noir (Linear/Vercel-adjacent with a grain twist),Medium,"Design a near-black (#0d0d0d) landing page where the ONLY saturated color is a single grain-textured rainbow gradient plume — stacked rounded columns blending magenta #e0218a, orange #f5a623, teal #27c4a0, violet #5b4bff with visible film-grain/noise — sitting directly behind a large high-contrast editorial serif headline in warm off-white #f5f0e6. Keep everything else strictly grayscale: muted grey body copy #8a8a8a, dark faint-bordered cards #1a1a1a, and ration the rainbow down to tiny per-section eyebrow dots so the page feels lit by one light source. Use a single warm cream pill CTA #efe7d3 as the only other warm element, with generous whitespace and quiet ambient motion.","background:#0d0d0d; color:#f5f0e6; serif display font-family: Georgia/'Times New Roman'/Tiempos; body font: Inter/system-ui; muted text #8a8a8a; cards background:#1a1a1a with border:1px solid rgba(255,255,255,0.07); hero plume = conic/linear multi-stop gradient + SVG/feTurbulence grain overlay (mix-blend-mode: overlay); CTA: background:#efe7d3; color:#0d0d0d; border-radius:9999px; minimal box-shadow; eyebrow dots use the gradient hues","☐ bake real film-grain/noise into the gradient (feTurbulence or noise PNG) — smooth gradient kills the look, ☐ use ONE saturated source only; force the rest of the page grayscale, ☐ headline must be a high-contrast serif, never the body sans, ☐ position the serif headline half-inside the glow for focal contrast, ☐ echo the accent hues only as tiny per-section eyebrow dots, ☐ keep the single cream pill CTA as the lone warm UI element, ☐ keep cards flat with 1px faint borders, no heavy shadows, ☐ generous vertical rhythm; tighten only at feature-row stack + FAQ","--bg:#0d0d0d; --fg:#f5f0e6; --muted:#8a8a8a; --surface:#1a1a1a; --accent:linear-gradient(135deg,#e0218a,#f5a623,#27c4a0,#5b4bff); --cta:#efe7d3; --radius:9999px; --shadow:0 1px 0 rgba(255,255,255,0.04)"
